,Unnamed: 0,CaseOrder,Customer_id,Interaction,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
2598,2599,2599,B455335,246a944c-496b-4a10-b3a3-f1740451893e,Sabael,NY,Hamilton,12864,43.72735,-74.30538,24,Suburban,America/New_York,Magazine features editor,1.0,53,GED or Alternative Credential,Full Time,81376.2,Separated,Male,No,10.22561684,5,3,2.0,No,Two Year,Yes,No,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Mailed Check,7.617535143,160.540679,1326.411799,4,4,4,5,4,4,3,3
2632,2633,2633,E706607,7df0d23c-4290-4e60-abfd-15de9d2034d1,Cissna Park,IL,Iroquois,60924,40.55778,-87.88532,1485,Urban,America/Chicago,Administrator,1.0,53,"Some College, 1 or More Years, No Degree",Full Time,128114.29,Widowed,Female,Yes,11.31716612,10,0,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Mailed Check,12.23147105,219.3209337,1483.466725,2,4,4,4,4,5,2,2
2658,2659,2659,G499792,48445ffc-14f9-4bb6-be86-8d5dcc721954,Bloomingdale,NJ,Passaic,7403,41.02127,-74.33188,7999,Suburban,America/New_York,Dealer,1.0,25,Nursery School to 8th Grade,Full Time,138555.91,Divorced,Male,Yes,12.13295482,12,3,0.0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Bank Transfer(automatic),11.96095692,141.3023846,2058.120961,4,2,3,1,6,3,3,6
2670,2671,2671,C72437,50762893-47ca-42df-b7d6-62c9a25b1cc1,Noxon,MT,Sanders,59853,48.05707,-115.76963,702,Rural,America/Denver,Research scientist (medical),1.0,56,GED or Alternative Credential,Student,83923.73,Divorced,Female,Yes,11.66613183,12,1,0.0,No,Month-to-month,No,No,None,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Electronic Check,15.06815402,119.8475014,1516.686884,5,6,5,6,2,5,4,5
2686,2687,2687,G271409,a62778f5-b162-4201-9f40-82782c797133,Terre Haute,IN,Vigo,47805,39.54706,-87.32665,12695,Rural,America/Indiana/Indianapolis,Counselling psychologist,4.0,53,Bachelor's Degree,Full Time,80674.2,Divorced,Male,Yes,39.20304338,12,0,1.0,No,Two Year,Yes,No,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Electronic Check,10.06394737,247.5252182,1686.732783,3,3,3,4,3,2,3,3
2706,2707,2707,V639117,83911fa0-b300-4db4-aec8-6e4e734cb9df,Old Glory,TX,Stonewall,79540,33.16876,-100.03773,77,Urban,America/Chicago,Armed forces training and education officer,1.0,73,"Some College, 1 or More Years, No Degree",Retired,108960.66,Never Married,Female,Yes,8.295694443,13,1,1.0,Yes,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),1.38776937,159.3320455,617.6429974,3,3,2,4,4,3,4,3
2752,2753,2753,J110435,c18f101b-00b7-49a0-999d-6f45fe453708,Durham,NC,Durham,27705,36.02698,-78.98065,49019,Suburban,America/New_York,Dancer,1.0,53,"9th Grade to 12th Grade, No Diploma",Retired,105396.27,Separated,Male,Yes,14.30346598,11,0,0.0,No,One year,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,No,Mailed Check,36.19603,242.4366521,1369.012136,3,3,4,4,3,3,2,5
2755,2756,2756,J812375,3cba04dc-9d8e-4105-a4cd-3dc788d22ab7,Hepzibah,WV,Harrison,26369,39.33403,-80.33176,672,Urban,America/New_York,Solicitor,0.0,53,Bachelor's Degree,Full Time,115440.45,Widowed,Female,Yes,6.307570923,11,0,0.0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,No,Mailed Check,8.612474419,149.4559207,1425.150573,3,3,4,3,3,3,4,2
2762,2763,2763,G991685,2dcf2d3e-34b0-430c-9b96-f410ff735f04,Woodbine,GA,Camden,31569,30.90736,-81.70486,5831,Rural,America/New_York,Production engineer,1.0,33,Associate's Degree,Full Time,175137.34,Never Married,Male,Yes,11.39732476,14,1,1.0,No,Month-to-month,No,No,None,Yes,Yes,No,No,No,No,Yes,Yes,No,Electronic Check,18.21029576,207.0173498,2150.497966,4,3,3,4,1,3,3,3
2779,2780,2780,Y295853,f273c871-714c-45e4-ac5f-09a4a2916feb,Moonachie,NJ,Bergen,7074,40.8399,-74.05672,2739,Rural,America/New_York,Horticultural consultant,1.0,32,"Some College, Less than 1 Year",Full Time,82308.64,Widowed,Male,No,11.93309866,11,0,0.0,No,One year,Yes,Yes,None,Yes,Yes,No,No,No,No,Yes,No,Yes,Mailed Check,12.95414684,137.9203999,1461.63528,1,2,2,4,3,3,1,2
2796,2797,2797,W979591,9f799c7e-ea6b-43a5-9591-97ab2afa02dc,Benezett,PA,Elk,15821,41.35536,-78.36768,131,Urban,America/New_York,"Engineer, communications",3.0,82,Bachelor's Degree,Full Time,131511.82,Widowed,Male,Yes,9.188761949,7,0,1.0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Electronic Check,13.47613483,172.2192869,1838.415776,3,3,3,4,3,3,5,3
2802,2803,2803,G214970,7a21897b-12aa-4079-b263-32669d49566c,Fort Mitchell,AL,Russell,36856,32.2766,-84.99898,7415,Urban,America/Chicago,"Therapist, nutritional",0.0,36,Bachelor's Degree,Full Time,108914.25,Widowed,Male,No,12.30871533,13,1,0.0,Yes,One year,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Electronic Check,8.081085785,242.8348851,1387.096942,4,4,4,2,4,4,4,3
2824,2825,2825,H722651,9f24a56a-6323-46b9-b995-60647b2cc526,Grafton,ND,Walsh,58237,48.41406,-97.40539,5264,Rural,America/Chicago,"Engineer, electronics",3.0,21,Regular High School Diploma,Unemployed,92155.37,Divorced,Male,Yes,14.28133153,5,2,0.0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Mailed Check,11.55831086,193.7423093,1538.887965,3,3,2,3,4,3,4,4
2832,2833,2833,M78179,cc20abeb-7385-4dbe-bfea-cbb68fced9dd,West Branch,IA,Cedar,52358,41.69605,-91.31919,3525,Rural,America/Chicago,Ship broker,4.0,49,GED or Alternative Credential,Full Time,146951.6,Widowed,Female,No,7.652321521,13,1,0.0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,No,No,Credit Card (automatic),14.37480684,172.2649883,3382.424,4,4,3,3,4,3,3,3
2851,2852,2852,C885204,54e268cc-a832-4a75-829e-300e0d320019,Minneapolis,MN,Hennepin,55443,45.11958,-93.33713,31758,Urban,America/Chicago,Quarry manager,1.0,53,"Some College, 1 or More Years, No Degree",Student,145163.14,Divorced,Female,No,8.052853545,5,1,1.0,No,Two Year,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Mailed Check,11.40421301,159.9877574,1603.711289,3,3,2,2,4,4,4,4
2861,2862,2862,G490319,eab38035-8ae4-44fa-93af-32eaede788cc,Marietta,TX,Cass,75566,33.14819,-94.49175,730,Suburban,America/Chicago,"Engineer, water",1.0,53,Master's Degree,Part Time,116452.99,Never Married,Female,Yes,10.71823216,12,0,1.0,Yes,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,No,No,Yes,No,Electronic Check,9.693607793,130.2237194,1607.273001,5,5,5,4,2,6,4,5
2884,2885,2885,Z506619,d10c6473-4dd2-435d-8024-7ec716ff27ff,South Webster,OH,Scioto,45682,38.80766,-82.6944,2090,Suburban,America/New_York,"Designer, blown glass/stained glass",1.0,53,Bachelor's Degree,Unemployed,107174.58,Married,Male,No,13.51752235,12,2,0.0,No,Two Year,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,No,No,Mailed Check,6.140642726,137.7002622,924.5326675,3,3,2,4,4,3,2,3
2912,2913,2913,A282518,5fa0612f-5459-4ada-ba6f-5357481a159f,Manzanola,CO,Otero,81058,38.0988,-103.87966,1051,Suburban,America/Denver,Trading standards officer,1.0,89,Master's Degree,Full Time,122915.59,Divorced,Female,Yes,8.524539959,13,0,0.0,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Bank Transfer(automatic),10.48283974,230.1574463,1308.7086,3,3,2,5,4,4,6,3
2913,2914,2914,B591314,6adb35cc-2ae8-4b25-83f7-9be4828c50d9,Fanrock,WV,Wyoming,24834,37.55322,-81.63048,303,Urban,America/New_York,"Production assistant, radio",3.0,73,"Some College, 1 or More Years, No Degree",Unemployed,79117.6,Married,Male,Yes,10.64216844,15,1,0.0,No,Month-to-month,No,No,DSL,Yes,No,No,No,No,No,No,No,No,Credit Card (automatic),2.457741131,91.95481744,709.6900125,5,4,5,4,4,4,4,4
2926,2927,2927,L522392,2ef11dc6-c565-4654-845c-8033ec9fe400,Lenore,ID,Clearwater,83541,46.51487,-116.46568,1012,Urban,America/Los_Angeles,Catering manager,0.0,53,Bachelor's Degree,Part Time,98436.93,Never Married,Male,Yes,11.86638022,8,1,0.0,Yes,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),4.847251595,220.6326977,946.5642973,1,2,3,3,2,4,2,3
2943,2944,2944,Z23232,bf60f83b-62b9-4b19-b29e-ffcfd9037a27,Fairfield,IA,Jefferson,52557,41.02216,-91.96479,64,Suburban,America/Chicago,"Administrator, sports",1.0,53,"9th Grade to 12th Grade, No Diploma",Full Time,91022.36,Never Married,Female,No,16.6153283,8,0,0.0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,No,No,Bank Transfer(automatic),10.91352691,161.434218,1163.07255,3,3,3,4,3,3,4,4
2955,2956,2956,E245051,5c0fa045-a158-48b5-9a43-065e9e25ba66,Bryant,AR,Saline,72022,34.60427,-92.48828,17042,Rural,America/Chicago,Warden/ranger,2.0,53,Regular High School Diploma,Part Time,104362.54,Widowed,Female,No,13.24146092,11,0,0.0,No,One year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Credit Card (automatic),36.19603,162.2553801,2138.11032,3,3,2,4,4,4,3,4
2959,2960,2960,N740549,f64d02aa-0ded-455a-af79-a48702004686,Perris,CA,Riverside,92571,33.82427,-117.20461,56446,Urban,America/Los_Angeles,Museum/gallery exhibitions officer,0.0,22,"Some College, 1 or More Years, No Degree",Full Time,104867.5,Never Married,Male,Yes,5.707867553,7,0,0.0,No,Month-to-month,Yes,No,None,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Mailed Check,8.259384928,184.8550004,1262.417547,3,2,4,4,4,3,3,3
2967,2968,2968,S696170,5368d317-8529-4e32-81ec-a72676546d70,Federal Dam,MN,Cass,56641,47.20638,-94.24338,322,Suburban,America/Chicago,Cabin crew,1.0,53,"Some College, 1 or More Years, No Degree",Full Time,113641.24,Divorced,Male,No,12.82256103,7,1,0.0,Yes,One year,No,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Mailed Check,6.249599157,183.676781,3382.424,4,3,3,4,2,5,3,3
2977,2978,2978,T325632,06b43c66-f28b-4978-86d4-fa712e3fbe14,Hodgenville,KY,Larue,42748,37.571,-85.70853,8882,Rural,America/New_York,"Psychologist, educational",1.0,57,Professional School Degree,Student,119667.38,Never Married,Female,No,9.98965734,6,1,0.0,No,One year,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,No,Yes,No,Electronic Check,11.17999094,173.2987937,1168.630192,4,3,3,3,5,3,4,4
2986,2987,2987,Z128034,db21ae9d-caf5-4ef3-ab48-735c73bb8cfd,Medimont,ID,Kootenai,83842,47.44069,-116.55056,300,Rural,America/Los_Angeles,Print production planner,1.0,44,Bachelor's Degree,Student,86896.2,Separated,Female,Yes,7.65717555,14,1,1.0,No,Month-to-month,Yes,Yes,None,Yes,No,No,No,Yes,No,No,Yes,No,Electronic Check,9.349103343,126.933578,1087.694968,4,3,3,3,3,4,4,4
2990,2991,2991,B562858,7cff9745-ef54-439e-a144-3d668d26cd51,Manawa,WI,Waupaca,54949,44.4836,-88.91262,3370,Suburban,America/Chicago,Maintenance engineer,4.0,67,Regular High School Diploma,Unemployed,123891.85,Never Married,Male,No,9.8047121,8,1,1.0,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Credit Card (automatic),9.256770247,173.0386284,1318.670361,3,3,4,5,4,3,1,5
2993,2994,2994,Y244230,04f73536-e263-4746-ad80-498582ba5dfa,Imlay City,MI,Lapeer,48444,43.065,-83.05509,9869,Rural,America/Detroit,Arts administrator,1.0,26,Regular High School Diploma,Full Time,117623.66,Widowed,Female,Yes,11.98083639,11,1,0.0,Yes,Month-to-month,No,No,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Credit Card (automatic),13.44854618,161.9359871,1927.327764,1,1,2,3,3,1,1,2
2996,2997,2997,J752914,db45019f-18fb-457e-94e2-f3a449f5a051,Mound City,SD,Campbell,57646,45.69014,-100.08379,278,Urban,America/Chicago,"Scientist, research (medical)",1.0,20,GED or Alternative Credential,Retired,84399.36,Widowed,Female,Yes,10.91639958,11,2,0.0,No,Month-to-month,No,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,No,No,Electronic Check,2.17820047,150.5233995,3382.424,4,3,3,3,3,3,2,4
3001,3002,3002,Z02519,3f91528b-ff53-4b01-99bf-05015081bf4e,Ormond Beach,FL,Volusia,32174,29.28542,-81.16355,50869,Rural,America/New_York,Chief Executive Officer,1.0,27,"Some College, 1 or More Years, No Degree",Full Time,145569.5,Separated,Male,Yes,12.55818,6,2,0.0,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Electronic Check,2.258878,174.6733,755.0712,4,5,4,5,3,4,4,5
3014,3015,3015,G329032,b384b094-4009-40f8-8152-7572c66ace58,Shinglehouse,PA,Potter,16748,41.9445,-78.15298,2680,Rural,America/New_York,Television camera operator,4.0,71,Master's Degree,Retired,103306.6,Divorced,Male,No,13.44537,13,3,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Bank Transfer(automatic),8.58684,194.1625,1071.697,2,2,3,3,4,3,4,1
3018,3019,3019,T274245,3f3c3391-0f9f-4910-ad48-2255737ab8ac,Wayne,NJ,Passaic,7470,40.94802,-74.24525,54190,Urban,America/New_York,Probation officer,7.0,28,Regular High School Diploma,Full Time,96788.12,Never Married,Female,No,43.49816,14,1,2.0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Electronic Check,21.73641,211.6881,2371.074,5,4,4,1,6,5,4,4
3022,3023,3023,A561114,1876441b-8516-43a9-bbc6-30959da5e1e9,Pasadena,TX,Harris,77505,29.64608,-95.13826,24022,Suburban,America/Chicago,Geoscientist,0.0,18,GED or Alternative Credential,Full Time,104539.2,Separated,Female,No,11.80773,13,2,0.0,No,Month-to-month,Yes,Yes,DSL,Yes,No,No,No,Yes,No,No,No,Yes,Electronic Check,13.90887,105.0341,3382.424,6,5,4,5,5,4,6,4
3053,3054,3054,F945096,314abe99-4f92-4040-b839-e52f94ed8f2e,Caguas,PR,Caguas,725,18.21858,-66.04275,80555,Rural,America/Puerto_Rico,Community education officer,1.0,53,"Some College, 1 or More Years, No Degree",Unemployed,89747.43,Widowed,Female,No,14.28509,14,0,1.0,No,Month-to-month,Yes,Yes,None,Yes,Yes,Yes,No,No,No,No,No,No,Electronic Check,11.31382,115.8176,3382.424,6,6,4,4,4,4,4,3
3055,3056,3056,O916460,cb3843a2-7d7b-4b54-81c8-f8f915b8f639,Ezel,KY,Morgan,41425,37.88389,-83.42416,1075,Rural,America/New_York,Mechanical engineer,4.0,21,Regular High School Diploma,Unemployed,94836.83,Never Married,Female,Yes,10.15835,8,0,0.0,No,One year,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Electronic Check,6.967998,256.3257,1900.983,4,3,3,1,5,3,3,4
3062,3063,3063,H203149,bfc1564d-ed7b-4af3-ad23-26971038af49,Oswego,NY,Oswego,13126,43.43486,-76.46232,36335,Suburban,America/New_York,"Nurse, learning disability",1.0,29,Regular High School Diploma,Part Time,78712.17,Separated,Female,Yes,8.080367,14,1,0.0,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Bank Transfer(automatic),8.287531,152.0691,1530.742,3,3,3,4,3,4,4,3
3064,3065,3065,T500134,5781c7f2-4f2f-4bbe-8bb7-f09645760737,Fairless Hills,PA,Bucks,19030,40.18068,-74.83717,11722,Rural,America/New_York,"Horticulturist, amenity",1.0,20,Professional School Degree,Full Time,97694.83,Never Married,Male,No,10.13276,16,2,0.0,No,Month-to-month,No,No,None,Yes,Yes,No,No,No,No,No,No,No,Electronic Check,11.81853,112.4293,1247.348,3,3,4,4,3,3,4,3
3120,3121,3121,E691911,a17b469b-cbaf-43c0-9222-8c36bdc66f1e,Aberdeen,MD,Harford,21001,39.51075,-76.20061,24453,Suburban,America/New_York,Consulting civil engineer,1.0,53,Master's Degree,Full Time,160589.2,Married,Female,Yes,4.528849,14,1,1.0,No,Month-to-month,No,No,DSL,Yes,No,Yes,No,No,No,No,Yes,Yes,Credit Card (automatic),6.693474,128.5256,1301.156,3,3,3,3,5,2,2,2
3130,3131,3131,S942225,851b7829-4d62-4a5e-8f31-98af43756637,Wilmette,IL,Cook,60091,42.07702,-87.72809,27367,Urban,America/Chicago,Public relations account executive,1.0,50,Nursery School to 8th Grade,Part Time,120286.2,Divorced,Male,No,8.370417,16,1,1.0,No,One year,No,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Bank Transfer(automatic),2.159586,184.2498,1110.767,2,2,3,4,4,4,4,1
3139,3140,3140,K455176,650dfdc6-94a2-4a58-b1c3-a54496a737f2,Atlanta,GA,Fulton,30306,33.7887,-84.35026,24112,Suburban,America/New_York,"Pharmacist, hospital",2.0,26,GED or Alternative Credential,Student,90583.52,Divorced,Male,Yes,5.054568,11,2,0.0,No,Month-to-month,No,Yes,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Mailed Check,36.19603,177.1658,921.6983,3,3,3,4,4,3,4,3
3144,3145,3145,M394986,bf69ac21-ee56-4ac0-9e7a-89af606c2a1d,Hendersonville,TN,Sumner,37075,36.33996,-86.60659,65123,Urban,America/Chicago,"Administrator, sports",0.0,53,Bachelor's Degree,Retired,97020.52,Married,Female,Yes,7.322451,11,0,0.0,No,Month-to-month,No,No,DSL,Yes,No,Yes,No,Yes,Yes,No,No,No,Electronic Check,3.876369,120.6413,966.7789,5,4,4,3,3,4,4,4
3148,3149,3149,V565903,f0d1ffda-d0f3-4cad-a786-bfa2d2694949,New Bloomington,OH,Marion,43341,40.59641,-83.3153,948,Suburban,America/New_York,Speech and language therapist,7.0,85,Bachelor's Degree,Full Time,99411.44,Divorced,Male,No,4.448668,10,1,1.0,No,Two Year,No,No,DSL,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Credit Card (automatic),7.802142,159.6254,1482.481,5,4,4,3,3,4,4,2
3160,3161,3161,C586578,5354891c-bc92-4d48-8d43-289f76fba443,Tyrone,PA,Blair,16686,40.66829,-78.25086,13268,Suburban,America/New_York,"Civil engineer, contracting",3.0,19,Associate's Degree,Full Time,78517.82,Never Married,Female,Yes,10.8297,14,3,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,No,Mailed Check,2.312021,241.3785,908.244,3,4,4,3,3,5,4,4
3171,3172,3172,D694526,220d88b5-af40-485a-a4c6-e251f3e43324,Jobstown,NJ,Burlington,8041,40.03788,-74.68386,978,Urban,America/New_York,Clinical biochemist,0.0,50,Bachelor's Degree,Full Time,82809.36,Never Married,Male,No,13.46427,12,1,2.0,No,Month-to-month,No,No,None,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Bank Transfer(automatic),9.705314,140.3669,1109.724,2,3,2,2,4,2,1,1
3182,3183,3183,J405133,39ec8d1f-f7cc-4263-93d7-025eac4cbfc4,Corrales,NM,Sandoval,87048,35.23602,-106.62,9073,Suburban,America/Denver,Proofreader,2.0,29,Bachelor's Degree,Student,111779.6,Separated,Male,Yes,6.071882,9,0,2.0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,Yes,No,Yes,Yes,Mailed Check,6.815025,138.8091,1344.195,4,4,4,4,2,3,5,5
3207,3208,3208,Y645189,ab654548-e1d9-41bb-ac6b-b46760ea0462,Criders,VA,Rockingham,22820,38.72812,-79.01629,219,Rural,America/New_York,"Conservation officer, historic buildings",1.0,77,Bachelor's Degree,Unemployed,78317.51,Divorced,Male,Yes,7.489936,7,2,1.0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Electronic Check,6.678303,160.3493,1307.12,3,3,3,3,4,3,4,3
3231,3232,3232,Q64706,8f58f52a-538a-44cc-b3ef-0ee5a8c333f7,Venice,LA,Plaquemines,70091,29.21349,-89.28346,332,Rural,America/Chicago,"Chemist, analytical",1.0,58,Regular High School Diploma,Full Time,98555.98,Married,Female,Yes,1.498346,15,0,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,No,No,Mailed Check,8.539485,180.7529,3382.424,3,4,3,3,5,3,4,3
3247,3248,3248,J413492,f4e21d59-d6ed-45ae-be11-6a89001c2bee,Grant City,MO,Worth,64456,40.48962,-94.38705,1429,Suburban,America/Chicago,Exhibition designer,1.0,73,Regular High School Diploma,Unemployed,80104.26,Divorced,Male,No,8.645886,17,2,0.0,Yes,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,Yes,No,No,No,Mailed Check,4.157726,138.1483,463.3885,4,3,5,5,3,4,4,4
3268,3269,3269,Z745059,fba5f088-d18b-49ec-bc4f-46751f422b8c,Madera,PA,Clearfield,16661,40.83603,-78.45652,861,Rural,America/New_York,Manufacturing engineer,1.0,53,Associate's Degree,Full Time,95843.1,Divorced,Female,No,10.3026,11,2,2.0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Electronic Check,3.062161,164.0118,3382.424,4,4,3,5,2,4,4,3
3283,3284,3284,R81991,4938e7bf-dc8b-438e-996f-f5e070987f6d,Laverne,OK,Harper,73848,36.65399,-100.0072,2408,Suburban,America/Chicago,"Research officer, political party",3.0,53,Professional School Degree,Full Time,90839.09,Never Married,Female,No,35.24022,13,1,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,No,No,No,No,Yes,No,Credit Card (automatic),14.66848,177.1055,3382.424,3,3,5,4,4,2,3,2
3292,3293,3293,W944417,a06b648a-4d46-48f6-aa38-877ce4d51f0a,Culpeper,VA,Culpeper,22701,38.43912,-77.99759,35087,Urban,America/New_York,"Solicitor, Scotland",2.0,72,"9th Grade to 12th Grade, No Diploma",Full Time,80363.72,Married,Female,Yes,8.977228,8,1,1.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Credit Card (automatic),7.182107,203.5936,1020.408,3,4,5,3,3,2,4,3
3309,3310,3310,P452954,a8fe123e-b99d-4a8d-88f8-0feec4ebf94c,Alpine,NJ,Bergen,7620,40.96156,-73.91996,1521,Rural,America/New_York,Copy,7.0,53,Associate's Degree,Unemployed,110886.7,Widowed,Female,No,4.309006,10,0,0.0,No,Two Year,No,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Mailed Check,2.326806,194.8688,755.6831,4,4,2,1,5,2,3,2
3332,3333,3333,U66424,3736f678-f5ea-42c8-a86e-678bfd0a5637,Aberdeen,MS,Monroe,39730,33.84179,-88.56421,11197,Rural,America/Chicago,Quarry manager,3.0,71,"Some College, 1 or More Years, No Degree",Full Time,81902.07,Separated,Female,Yes,37.59592,5,2,0.0,No,Two Year,Yes,No,DSL,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Mailed Check,8.442986,210.4284,1450.001,4,5,4,1,5,4,3,4
3338,3339,3339,Z879032,3b46954f-522e-47d2-896a-94d15f1d419b,Bradley,AR,Lafayette,71826,33.09207,-93.72343,1227,Rural,America/Chicago,Hydrologist,7.0,89,"Some College, 1 or More Years, No Degree",Part Time,93936.05,Married,Male,No,11.82891,14,1,1.0,No,One year,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Credit Card (automatic),8.301576,231.8205,1436.946,3,3,3,2,4,2,2,4
3342,3343,3343,B91628,4d9dc102-63d7-4d3d-984c-394047251f82,Steelville,MO,Crawford,65565,37.90612,-91.24857,5060,Urban,America/Chicago,General practice doctor,1.0,53,"Some College, 1 or More Years, No Degree",Unemployed,89567.28,Never Married,Male,No,6.359409,11,0,0.0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,Yes,No,No,Yes,Mailed Check,18.16755,135.6297,3382.424,3,2,4,2,5,3,3,3
3354,3355,3355,I514878,a9a83b7f-6142-4aec-b2e5-7ccae1579e66,Mc Cune,KS,Crawford,66753,37.36095,-95.01195,1238,Suburban,America/Chicago,Commercial horticulturist,9.0,57,"Some College, 1 or More Years, No Degree",Full Time,96431.37,Separated,Female,No,13.19589,12,0,0.0,No,One year,No,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Credit Card (automatic),4.066766,162.8906,1241.878,4,4,4,3,4,3,4,3
3397,3398,3398,K563405,b3cf3eea-cf93-404b-a0da-1a3890915253,Damascus,GA,Miller,39841,31.28183,-84.68109,705,Urban,America/New_York,Chiropractor,2.0,22,Master's Degree,Full Time,159113.5,Never Married,Male,Yes,10.8612,9,1,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,7.557333,207.0171,1262.139,2,3,3,4,3,2,2,3
3435,3436,3436,F929683,bc35105e-ad77-4c87-9bcb-d519d2080a80,Coffey,MO,Daviess,64636,40.11023,-93.98126,268,Urban,America/Chicago,"Biochemist, clinical",4.0,53,Regular High School Diploma,Retired,90696.33,Separated,Female,No,13.0033,13,2,0.0,No,One year,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Bank Transfer(automatic),10.56862,165.4499,1734.66,4,5,4,4,4,4,4,5
3466,3467,3467,G539846,e6b0bac0-4185-4646-8d35-75f531954e27,Glenwood Springs,CO,Garfield,81601,39.58391,-107.3136,15666,Suburban,America/Denver,"Surveyor, commercial/residential",1.0,54,GED or Alternative Credential,Full Time,121055.6,Divorced,Male,Yes,35.43257,12,3,0.0,No,Two Year,No,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,7.047021,290.7964,1260.942,4,3,3,3,4,4,5,4
